#19201-19500 Amani 19501-19800 Atal'ai 19801-20100 Razorbranch 20101-20400 Firetree  20401-20700 Mossflayer 20701-21000 Revantusk 21001-21300 Vilebrach 21301-21600 Shadowpine 21601-21900 Whitebark 21901-22200 Bloodscalp
#22201-22500 Darkspear 22501-22800 Gurubashi 22801-23100 Shatterspear 23101-23400 Drakkari 23401-23700 Frostmane 23701-24000 Sandfury 24001-24300 Smolderthorn 24301-24600 Shadowglen 24601-24900 Winterax 
#24901-25200 Winterfang 25201-25500 Shadowtooth 25501-25700 Zandalari 25701-26000 Zulian 26001-26300 Razzashi

#Dynasties 19001 - 19200 used for named troll characters


19001 = { name = "Amani" culture = amani }
19002 = { name = "Atal'ai" culture = atalai }
19003 = { name = "Razorbranch" culture = razorbranch }
19004 = { name = "Firetree" culture = firetree }
19005 = { name = "Mossflayer" culture = mossflayer }
19006 = { name = "Revantusk" culture = revantusk }
19007 = { name = "Vilebranch" culture = vilebranch }
19008 = { name = "Shadowpine" culture = shadowpine }
19009 = { name = "Whitebark" culture = witherbark }
19010 = { name = "Bloodscalp" culture = bloodscalp }
19011 = { name = "Darkspear" culture = darkspear }
19012 = { name = "Gurubashi" culture = gurubashi }
19013 = { name = "Shatterspear" culture = shatterspear }
19014 = { name = "Skullsplitter" culture = skullsplitter }
19015 = { name = "Drakkari" culture = drakkari }
19016 = { name = "Frostmane" culture = frostmane }
19017 = { name = "Farraki" culture = sandfury }						#Changed Sandfury to Farraki
19018 = { name = "Smolderthorn" culture = smolderthorn }
19019 = { name = "Shadowglen" culture = shadowglen }
19020 = { name = "Winterax" culture = winterax }
19021 = { name = "Winterfang" culture = winterfang }
19022 = { name = "Shadowtooth" culture = shadowtooth }
19023 = { name = "Zandalari" culture = zandalari }
19024 = { name = "Zulian" culture = zulian }
19025 = { name = "Razzashi" culture = razzashi }




19201 = { name = "Armorai" culture = amani }
19202 = { name = "Pogine" culture = amani }
19203 = { name = "Talaniji" culture = amani }
19204 = { name = "Ilatike" culture = amani }
19205 = { name = "Nagetza" culture = amani }
19206 = { name = "Vetla" culture = amani }
19207 = { name = "Tajani" culture = amani }
19208 = { name = "Tregweni" culture = amani }
19209 = { name = "Valakidu" culture = amani }
19210 = { name = "Zebuwa" culture = amani }
19211 = { name = "Armani" culture = amani }
19212 = { name = "Berwandi" culture = amani }
19213 = { name = "Huntani" culture = amani }
19214 = { name = "Kontala" culture = amani }
19215 = { name = "Gyatsu" culture = amani }
19216 = { name = "Zuldani" culture = amani }
19217 = { name = "Makari" culture = amani }
19218 = { name = "Barraki" culture = amani }
19219 = { name = "Tsanami" culture = amani }
19220 = { name = "Bwotswani" culture = amani }
19221 = { name = "Mossami" culture = amani }
19222 = { name = "Mossa" culture = amani }
19223 = { name = "Nzala" culture = amani }
19224 = { name = "Mbakala" culture = amani }
19225 = { name = "Tzala" culture = amani }
19226 = { name = "Zora" culture = amani }
19227 = { name = "Bandbani" culture = amani }
19228 = { name = "Terojin" culture = amani }
19229 = { name = "Tonami" culture = amani }
19230 = { name = "Uchi'hala" culture = amani }
