draconic_group = {
	has_coa_on_barony_only = yes
	graphical_culture = indiangfx
	playable = yes
	ai_fabricate_claims = no
	
	cult_of_the_life_binder = {
		graphical_culture = indiangfx
		
		icon = 12
		color = { 0.82 0.15 0.15 }
		
		scripture_name = THE_CHARGE_OF_THE_DRAGONFLIGHTS
		high_god_name = GOD_ALEXSTRASZA
		god_names = { GOD_ALEXSTRASZA GOD_TITANS GOD_LIFE_BINDER GOD_EONAR }
		evil_god_names = { GOD_SARGERAS GOD_OLD_GODS GOD_BURNING_LEGION GOD_GALAKROND GOD_DEATHWING }
		
		ai_convert_same_group = 0
		ai_convert_other_group = 0
		ai_peaceful = yes
		priests_can_marry = yes
		female_temple_holders = yes
		priest_title = PRIESTNAME_RUBY_GUARDIAN
		priests_can_inherit = yes
		can_hold_temples = yes
		feminist = yes
		aggression = 0.5
		pacifist = yes
		
		intermarry = cult_of_the_dreamer
		intermarry = cult_of_the_timeless
		intermarry = cult_of_the_spell_weaver
		intermarry = cult_of_the_earth_warder
		
		religious_clothing_head = 0 # Placeholder
		religious_clothing_priest = 0 # Placeholder
	}
	
	cult_of_the_spell_weaver = {
		graphical_culture = indiangfx
		
		icon = 14
		color = { 0.17 0.15 0.82 }
		
		scripture_name = THE_CHARGE_OF_THE_DRAGONFLIGHTS
		high_god_name = GOD_MALYGOS
		god_names = { GOD_MALYGOS GOD_TITANS GOD_SPELL_WEAVER GOD_NORGANNON }
		evil_god_names = { GOD_SARGERAS GOD_OLD_GODS GOD_BURNING_LEGION GOD_GALAKROND GOD_DEATHWING }
		
		ai_convert_same_group = 0
		ai_convert_other_group = 0
		ai_peaceful = yes
		priests_can_marry = yes
		female_temple_holders = yes
		priest_title = PRIESTNAME_AZURE_GUARDIAN
		priests_can_inherit = yes
		can_hold_temples = yes
		feminist = yes
		aggression = 0.5
		pacifist = yes
		
		intermarry = cult_of_the_dreamer
		intermarry = cult_of_the_timeless
		intermarry = cult_of_the_life_binder
		intermarry = cult_of_the_earth_warder
		
		religious_clothing_head = 0 # Placeholder
		religious_clothing_priest = 0 # Placeholder
	}
	
	cult_of_the_timeless = {
		graphical_culture = indiangfx
		
		icon = 15
		heresy_icon = 17
		color = { 0.8 0.65 0.06 }
		
		scripture_name = THE_CHARGE_OF_THE_DRAGONFLIGHTS
		high_god_name = GOD_NOZDORMU
		god_names = { GOD_NOZDORMU GOD_TITANS GOD_TIMELESS GOD_AMANTHUL }
		evil_god_names = { GOD_SARGERAS GOD_OLD_GODS GOD_BURNING_LEGION GOD_GALAKROND GOD_DEATHWING GOD_MUROZOND }
		
		ai_convert_same_group = 0
		ai_convert_other_group = 0
		ai_peaceful = yes
		priests_can_marry = yes
		female_temple_holders = yes
		priest_title = PRIESTNAME_BRONZE_GUARDIAN
		priests_can_inherit = yes
		can_hold_temples = yes
		feminist = yes
		aggression = 0.5
		pacifist = yes
		
		intermarry = cult_of_the_dreamer
		intermarry = cult_of_the_spell_weaver
		intermarry = cult_of_the_life_binder
		intermarry = cult_of_the_earth_warder
		
		religious_clothing_head = 0 # Placeholder
		religious_clothing_priest = 0 # Placeholder
	}
	
	cult_of_the_infinite = {
		graphical_culture = indiangfx
		
		parent = cult_of_the_timeless
		
		color = { 0.18 0.18 0.17 }
		
		scripture_name = THE_CHARGE_OF_THE_DRAGONFLIGHTS
		high_god_name = GOD_MUROZOND
		god_names = { GOD_MUROZOND GOD_INFINITE GOD_OLD_GODS GOD_VOID_LORDS }
		evil_god_names = { GOD_AMANTHUL GOD_TITANS GOD_NOZDORMU }
		
		ai_convert_same_group = 0
		ai_convert_other_group = 0
		ai_peaceful = yes
		priests_can_marry = yes
		female_temple_holders = yes
		priest_title = PRIESTNAME_CHRONONAUT
		priests_can_inherit = yes
		can_hold_temples = yes
		feminist = yes
		aggression = 5
		allow_looting = yes
		
		religious_clothing_head = 0 # Placeholder
		religious_clothing_priest = 0 # Placeholder
	}
	
	cult_of_the_dreamer = {
		graphical_culture = indiangfx
		
		icon = 13
		heresy_icon = 17
		color = { 0.1 0.72 0.01 }
		
