#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
azerothian;Azerothian;;;;;;;;;;;;;x
stromic;Stromic;;;;;;;;;;;;;x
dalaranian;Dalaranian;;;;;;;;;;;;;x
lordaeronian;Lordaeronian;;;;;;;;;;;;;x
gilnean;Gilnean;;;;;;;;;;;;;x
tirasian;Kul Tiran;;;;;;;;;;;;;x
alteraci;Alteraci;;;;;;;;;;;;;x
arathi;Arathi;;;;;;;;;;;;;x
frostwolf;Frostwolf;;;;;;;;;;;;;x
blackrock;Blackrock;;;;;;;;;;;;;x
bleeding_hollow;Bleeding Hollow;;;;;;;;;;;;;x
shattered_hand;Shattered Hand;;;;;;;;;;;;;x
shadowmoon;Shadowmoon;;;;;;;;;;;;;x
stormreaver;Stormreaver;;;;;;;;;;;;;x
thunderlord;Thunderlord;;;;;;;;;;;;;x
dragonmaw;Dragonmaw;;;;;;;;;;;;;x
warsong;Warsong;;;;;;;;;;;;;x
burning_blade;Burning Blade;;;;;;;;;;;;;x
twilights_hammer;Twilight's Hammer ;;;;;;;;;;;;;x
bonechewer;Bonechewer;;;;;;;;;;;;;x
laughing_skull;Laughing Skull;;;;;;;;;;;;;x
bronzebeard;Bronzebeard;;;;;;;;;;;;;x
dark_iron;Dark Iron;;;;;;;;;;;;;x
wildhammer;Wildhammer;;;;;;;;;;;;;x
high_elven;Quel'dorei;;;;;;;;;;;;;x
blood_elven;Sin'dorei;;;;;;;;;;;;;x
night_elven;Kaldorei;;;;;;;;;;;;;x
gnomish;Gnomish;;;;;;;;;;;;;x
goblin;Goblin;;;;;;;;;;;;;x
bronze_dragonflight;Bronze Dragonflight;;;;;;;;;;;;;x
red_dragonflight;Red Dragonflight;;;;;;;;;;;;;x
black_dragonflight;Black Dragonflight;;;;;;;;;;;;;x
blue_dragonflight;Blue Dragonflight;;;;;;;;;;;;;x
green_dragonflight;Green Dragonflight;;;;;;;;;;;;;x
scourge;Scourge;;;;;;;;;;;;;x
forsaken;Forsaken;;;;;;;;;;;;;x
amani;Amani;;;;;;;;;;;;;x
atalai;Atal'ai;;;;;;;;;;;;;x
firetree;Firetree;;;;;;;;;;;;;x
mossflayer;Mossflayer;;;;;;;;;;;;;x
revantusk;Revantusk;;;;;;;;;;;;;x
vilebranch;Vilebranch;;;;;;;;;;;;;x
shadowpine;Shadowpine;;;;;;;;;;;;;x
witherbark;Witherbark;;;;;;;;;;;;;x
