#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# dwarf;;;;;;;;;;;;;;x
emperor_dwarf;High King;Haut roi;Hochkönig;;;;;;;;;;;x
emperor_female_dwarf;High Queen;Haute reine;Hochkönigin;;;;;;;;;;;x
empire_of_dwarf;High Kingdom of;Haut Royaume de;Hochkönigreich von;;;;;;;;;;;x
empire_dwarf;Empire;Empire;Kaiserreich;;;;;;;;;;;x
duke_dwarf;Thane;Thane;Thane;;;;;;;;;;;x
duke_female_dwarf;Thane;Thane;Thanin;;;;;;;;;;;x
duchy_of_dwarf;Tribe of;;Stamm von;;;;;;;;;;;x
duchy_dwarf;Clan;Clan;Clan;;;;;;;;;;;x
count_dwarf;Lord;Lord;Lord;;;;;;;;;;;x
count_female_dwarf;Lady;Lady;Lady;;;;;;;;;;;x
county_of_dwarf;Lordship of;Lordship of;Lordship von;;;;;;;;;;;x
county_dwarf;Lordship;Lordship;Lordship;;;;;;;;;;;x
# goblin;;;;;;;;;;;;;;x
emperor_goblin;Trade Prince;Trade Prince;Trade Prince;;;;;;;;;;;x
emperor_female_goblin;Trade Princess;Trade Princess;Trade Princess;;;;;;;;;;;x
empire_of_goblin;Trade Empire of;Trade Empire de;Trade Empire von;;;;;;;;;;;x
empire_goblin;Trade Empire;Trade Empire;Trade Kaiserreich;;;;;;;;;;;x
king_goblin;Mogul;Mogul;Mogul;;;;;;;;;;;x
king_female_goblin;Moguless;Moguless;Moguless;;;;;;;;;;;x
kingdom_of_goblin;Trade Coalition of;Trade Coalitio de;Trade Coalitio von;;;;;;;;;;;x
kingdom_goblin;Trade Coalition;Trade Coalitio;Trade Coalitio;;;;;;;;;;;x
count_goblin;High Baron;Grand Baron;Baron;;;;;;;;;;;x
count_female_goblin;High Baroness;Grande Baronne;Baronin;;;;;;;;;;;x
county_of_goblin;High Barony of;Grande Baronnerie de;Baronie von;;;;;;;;;;;x
county_goblin;High Barony;Grande Baronnerie;Baronie;;;;;;;;;;;x
baron_goblin;Bankir;Bankir;Bankir;;;;;;;;;;;x
baron_female_goblin;Bankir;Bankir;Bankir;;;;;;;;;;;x
barony_of_goblin;Bank of;Bank de;Bank von;;;;;;;;;;;x
barony_goblin;Bank;Bank;Bank;;;;;;;;;;;x
# naga_;;;;;;;;;;;;;;x
emperor_naga;Emperor;Empereur;Kaiser;;;;;;;;;;;x
emperor_female_naga;Empress;Impératrice;Kaiserin;;;;;;;;;;;x
empire_of_naga;Empire of;Empire de;Kaiserreich von;;;;;;;;;;;x
empire_naga;Empire;Empire;Kaiserreich;;;;;;;;;;;x
king_naga;Warlord;Seigneur de guerre;Kriegsfürst;;;;;;;;;;;x
king_female_naga;Sea Witch;Sorcière des mers;Seehexe;;;;;;;;;;;x
kingdom_of_naga;High Tribe of;Haute Tribu de;Hoher Stamm von;;;;;;;;;;;x
kingdom_naga;High Clan;Haut Clan;Hoher Stamm;;;;;;;;;;;x
duchy_naga;Clan;Clan;Clan;;;;;;;;;;;x
duchy_of_naga;Tribe of;Tribu de;Stamm von;;;;;;;;;;;x
county_of_naga;Chiefdom of;Chefferie de;Stamm von;;;;;;;;;;;x
county_naga;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
# tirasian;;;;;;;;;;;;;;x
emperor_tirasian;Grand Lord Admiral;Grand Amiral;Lord Großadmiral;;;;;;;;;;;x
emperor_female_tirasian;Grand Lord Admiral;Grande Amirale;Lady Großadmiralin;;;;;;;;;;;x
king_tirasian;Lord Admiral;Seigneur Amiral;Großadmiral;;;;;;;;;;;x
king_female_tirasian;Lord Admiral;Seigneur Amirale;Großadmiralin;;;;;;;;;;;x
# dragon;;;;;;;;;;;;;;x
emperor_dragon;High Dragonking;Grand Roi des Dragons;Hochkönig der Drachen;;;;;;;;;;;x
emperor_female_dragon;High Dragonqueen;Grande Reine des Dragons;Hochkönigin der Drachen;;;;;;;;;;;x
empire_of_dragon;High Dragonflight of;Haut Vol;Gewaltiger Drachenschwarm von;;;;;;;;;;;x
empire_dragon;High Dragonflight;Haut Vol;Gewaltiger Drachenschwarm;;;;;;;;;;;x
king_dragon;Dragonking;Roi des Dragons;Drachenkönig;;;;;;;;;;;x
king_female_dragon;Dragonqueen;Reine des Dragons;Drachenkönigin;;;;;;;;;;;x
kingdom_of_dragon;Dragonflight of;Vol;Drachenschwarm von;;;;;;;;;;;x
kingdom_dragon;Dragonflight;Vol;Drachenschwarm;;;;;;;;;;;x
# troll;;;;;;;;;;;;;;x
emperor_troll;God King;Dieu-roi;Gottkönig;;;;;;;;;;;x
emperor_female_troll;God Queen;Déesse-reine;Gottkönigin;;;;;;;;;;;x
empire_of_troll;Empire of;Empire de;Imperium von;;;;;;;;;;;x
empire_troll;Empire;Empire;Imperium;;;;;;;;;;;x
king_troll;Warlord;Warlord;Warlord;;;;;;;;;;;x
king_female_troll;Warlady;Warlady;Warlady;;;;;;;;;;;x
kingdom_of_troll;Kingdom of;Royaume de;Königreich von;;;;;;;;;;;x
kingdom_troll;Kingdom;Royaume;Königreich;;;;;;;;;;;x
duke_troll;Chieftain;Chieftain;Chieftain;;;;;;;;;;;x
duke_female_troll;Chieftess;Chieftess;Chieftess;;;;;;;;;;;x
duchy_of_troll;Great Tribe of;Great Tribe of;Great Tribe von;;;;;;;;;;;x
duchy_troll;Great Tribe;Great Tribe;Great Tribe;;;;;;;;;;;x
count_troll;Primal;Primal;Primal;;;;;;;;;;;x
count_female_troll;Primaless;Primaless;Primaless;;;;;;;;;;;x
# demonic;;;;;;;;;;;;;;x
emperor_demonic;Supreme Lord;Seigneur suprême;Oberster Lord;;;;;;;;;;;x
emperor_female_demonic;Supreme Lady;Dame suprême;Oberste Herrin;;;;;;;;;;;x
empire_of_demonic;Supreme Lordship of;Seigneurie suprême de;Oberster Lord von;;;;;;;;;;;x
empire_demonic;Supreme Lordship;Seigneurie suprême;Oberster Lord;;;;;;;;;;;x
king_demonic;Demon Lord;Seigneur démon;Dämonenlord;;;;;;;;;;;x
king_female_demonic;Demon Lady;Seigneur démon;Dämonenherrin;;;;;;;;;;;x
kingdom_of_demonic;Demon Lordship of;Seigneurie démoniaque de;dämonischer Lord von;;;;;;;;;;;x
kingdom_demonic;Demon Lordship;Seigneurie démoniaque;dämonischer Lord;;;;;;;;;;;x
# vrykul;;;;;;;;;;;;;;x
duke_vrykul;Jarl;Jarl;Jarl;;;;;;;;;;;x
duke_female_vrykul;Frue;Frue;Frau;;;;;;;;;;;x
duchy_of_vrykul;Jarldom of;Châtellerie de;Jarltum von;;;;;;;;;;;x
duchy_vrykul;Clan;Clan;Clan;;;;;;;;;;;x
# orcish;;;;;;;;;;;;;;x
emperor_orcish;Warchief;Warchief;Warchief;;;;;;;;;;;x
emperor_female_orcish;Warchieftess;Warchieftess;Warchieftess;;;;;;;;;;;x
empire_orcish;Warchiefdom;Warchiefdom;Warchiefdom;;;;;;;;;;;x
king_orcish;High Chieftain;Grand chef;Oberhäuptling;;;;;;;;;;;x
king_female_orcish;High Chieftess;Grande cheffe;Oberhäuptlingsdame;;;;;;;;;;;x
kingdom_of_orcish;High Tribe of;Haut-Clan;Hochstamm von;;;;;;;;;;;x
kingdom_orcish;High Clan;Haut-Clan;Hochstamm;;;;;;;;;;;x
duke_orcish;Chieftain;Chef;Häuptling;;;;;;;;;;;x
duke_female_orcish;Chieftess;Cheffe;Häuptlingsdame;;;;;;;;;;;x
duchy_orcish;Clan;Clan;Clan;;;;;;;;;;;x
duchy_of_orcish;Tribe of;Clan;Stamm von;;;;;;;;;;;x
count_orcish;Chief;Chef;Häuptling;;;;;;;;;;;x
count_female_orcish;Chieftess;Cheffe;Häuptlingsdame;;;;;;;;;;;x
county_of_orcish;Chiefdom of;Chefferie de;Stamm von;;;;;;;;;;;x
county_orcish;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
# tauren;;;;;;;;;;;;;;x
king_tauren;High Chieftain;Grand chef;Oberhäuptling;;;;;;;;;;;x
king_female_tauren;High Chieftess;Grande cheffe;Oberhäuptlingsdame;;;;;;;;;;;x
kingdom_of_tauren;High Tribe of;Haute Tribu de;Hochstamm von;;;;;;;;;;;x
kingdom_tauren;High Clan;Haut Clan;Hochstamm;;;;;;;;;;;x
duke_tauren;Chieftain;Chef;Häuptling;;;;;;;;;;;x
duke_female_tauren;Chieftess;Cheffe;Häutlingsdame;;;;;;;;;;;x
duchy_tauren;Clan;Clan;Clan;;;;;;;;;;;x
duchy_of_tauren;Tribe of;Tribu de;Stamm von;;;;;;;;;;;x
count_tauren;Chief;Chef;Häuptling;;;;;;;;;;;x
count_female_tauren;Chieftess;Cheffe;Häuptlingsdame;;;;;;;;;;;x
county_of_tauren;Chiefdom of;Chefferie de;Stamm von;;;;;;;;;;;x
county_tauren;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
# satyr;;;;;;;;;;;;;;x
emperor_satyr;Emperor;Empereur;Kaiser;;;;;;;;;;;x
emperor_female_satyr;Empress;Impératrice;Kaiserin;;;;;;;;;;;x
empire_of_satyr;Empire of;Empire de;Kaiserreich von;;;;;;;;;;;x
empire_satyr;Empire;Empire;Kaiserreich;;;;;;;;;;;x
kingdom_of_satyr;High Tribe of;Haute Tribu de;Hoher Stamm von;;;;;;;;;;;x
kingdom_satyr;High Clan;Haut Clan;Hoher Stamm;;;;;;;;;;;x
duchy_satyr;Clan;Clan;Clan;;;;;;;;;;;x
duchy_of_satyr;Tribe of;Tribu de;Stamm von;;;;;;;;;;;x
county_of_satyr;Chiefdom of;Chefferie de;Stamm von;;;;;;;;;;;x
county_satyr;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
# forsaken;;;;;;;;;;;;;;x
duke_forsaken;Dark Lord;;Dunkler Lord;;;;;;;;;;;x
duke_female_forsaken;Dark Lady;;Dunkle Lady;;;;;;;;;;;x
# gnome;;;;;;;;;;;;;;x
emperor_gnome;High Tinker;High Tinker;High Tinker;;;;;;;;;;;x
emperor_female_gnome;High Tinker;High Tinker;High Tinker;;;;;;;;;;;x
king_gnome;Tinker;Tinker;Tinker;;;;;;;;;;;x
king_female_gnome;Tinker;Tinker;Tinker;;;;;;;;;;;x
kingdom_of_gnome;Trade Coalition of;Trade Coalitio de;Trade Coalitio von;;;;;;;;;;;x
kingdom_gnome;Trade Coalition;Trade Coalitio;Trade Coalitio;;;;;;;;;;;x
duke_gnome;Mekgineer;Mekgineer;Mekgineer;;;;;;;;;;;x
duke_female_gnome;Mekgineer;Mekgineer;Mekgineer;;;;;;;;;;;x
count_gnome;Overseer;Overseer;Overseer;;;;;;;;;;;x
count_female_gnome;Overseeress;Overseeress;Overseeress;;;;;;;;;;;x
