#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
city_emperor;High Consul;Grand Consul;Hoher Konsul;;;;;;;;;;;x
city_emperor_female;Great Consul;Grande Consule;Hoher Konsul;;;;;;;;;;;x
city_empire_of;Great Republic of;Grande République de;Große Republik von;;;;;;;;;;;x
city_empire;Great Republic;Grande République;Große Republik;;;;;;;;;;;x
city_king;Consul;Consul;Konsul;;;;;;;;;;;x
city_king_female;Consul;Consule;Konsul;;;;;;;;;;;x
city_kingdom_of;Republic of;République de;Republik von;;;;;;;;;;;x
city_kingdom;Republic of;République;Republik von;;;;;;;;;;;x
city_duke;Magistrate;Magistrat;Magistrat;;;;;;;;;;;x
city_duke_female;Magistrate;Magistrate;Magistratin;;;;;;;;;;;x
city_duchy_of;Magistracy of;Magistrature de;Magistrat von;;;;;;;;;;;x
city_duchy;Magistracy;Magistrature;Magistrat;;;;;;;;;;;x
city_count;Mayor;Maire;Bürgermeister;;;;;;;;;;;x
city_count_female;Mayor;Maire;Bürgermeisterin;;;;;;;;;;;x
city_county_of;City of;Cité de;Stadt von;;;;;;;;;;;x
city_county;City;Cité;Stadt;;;;;;;;;;;x
# goblin;;;;;;;;;;;;;;x
city_emperor_goblin;Trade Prince;Trade Prince;Trade Prince;;;;;;;;;;;x
city_emperor_female_goblin;Trade Princess;Trade Princess;Trade Princess;;;;;;;;;;;x
city_empire_of_goblin;High Kingdom of;Haut Royaume de;Hochkönigreich von;;;;;;;;;;;x
city_empire_goblin;High Kingdom;Haut Royaume;Hochkönigreich;;;;;;;;;;;x
city_king_goblin;King;Roi;König;;;;;;;;;;;x
city_king_female_goblin;Queen;Reine;Königin;;;;;;;;;;;x
city_kingdom_of_goblin;Kingdom of;Royaume de;Königreich von;;;;;;;;;;;x
city_kingdom_goblin;Kingdom;Royaume;Königreich;;;;;;;;;;;x
city_duke_goblin;Trade Lord;Seigneur marchand;Handelsherr;;;;;;;;;;;x
city_duke_female_goblin;Trade Lady;Dame marchande;Handelsherrin;;;;;;;;;;;x
city_duchy_of_goblin;Highlordship of;Souveraineté de;Hochherrschaft von;;;;;;;;;;;x
city_duchy_goblin;Highlordship;Souveraineté;Hochherrschaft;;;;;;;;;;;x
city_count_goblin;Trade Baron;Baron marchand;Handelsbaron;;;;;;;;;;;x
city_count_female_goblin;Trade Baroness;Baronne marchande;Handelsbaronin;;;;;;;;;;;x
city_county_of_goblin;High Barony of;Haute Baronnerie de;Baronie von;;;;;;;;;;;x
city_county_goblin;High Barony;Haute Baronnerie;Baronie;;;;;;;;;;;x
# troll;;;;;;;;;;;;;;x
city_emperor_troll_;Emperor;Empereur;Imperator;;;;;;;;;;;x
city_emperor_female_troll;Empress;Impératrice;Imperatorin;;;;;;;;;;;x
city_empire_of_troll;Empire of;Empire de;Imperium von;;;;;;;;;;;x
city_empire_troll;Empire;Empire;Imperium;;;;;;;;;;;x
city_king;High Elder;Grand ancien;Hochältester;;;;;;;;;;;x
city_king_female;High Elder;Grande ancienne;Hochälteste;;;;;;;;;;;x
city_kingdom_of;High Tribe of;Haute Tribu de;Hoher Stamm von;;;;;;;;;;;x
city_kingdom;High Tribe;Haute Tribu;Hoher Stamm;;;;;;;;;;;x
city_duke;Elder;Ancien;Ältester;;;;;;;;;;;x
city_duke_female;Elder;Ancienne;Älteste;;;;;;;;;;;x
city_duchy_of;Tribe of;Tribu de;Stamm von;;;;;;;;;;;x
city_duchy;Tribe;Tribu;Stamm;;;;;;;;;;;x
city_count;Chief;Chef;Häuptling;;;;;;;;;;;x
city_count_female;Chieftess;Cheffe;Häuptlingsdame;;;;;;;;;;;x
city_county_of;Chiefdom of;Chefferie de;Stamm von ;;;;;;;;;;;x
city_county;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
