#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
EVTDESC_Keitaro_Decisions_1;Honoured [From.GetTitledName], I dislike having to request this from you, but your favor to me shall be payed back graciously by a generous donation for our realm.\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;x
EVTOPTA_Keitaro_Decisions_1;Here is the requested amount.;;;;;;;;;;;;;x
EVTOPTB_Keitaro_Decisions_1;I don't think I want to do that.;;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_Decisions_1_OPTB;[FromFrom.GetTitledFirstName] will not appreciate your refusal.\n;;;;;;;;;;;;;x
EVTOPTC_Keitaro_Decisions_1;I will be pleased to offer you more!;;;;;;;;;;;;;x
EVTOPTD_Keitaro_Decisions_1;This is too much money! Fewer coins are enough!;;;;;;;;;;;;;x
EVTOPTE_Keitaro_Decisions_1;Sorry, but you would understand that, at this time...;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_2;To the [GetFromRootCompliment] [Root.GetTitledFirstName], here are the [From.local_Keitaro_money_count_spent.GetValue]¤ that you have asked, I hope this settles everything.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPT_Keitaro_Decisions_2;Good.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_3;To [Root.GetTitledFirstName], I am afraid I have to decline your offer, my money is too important for that.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPT_Keitaro_Decisions_3;How dare you!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_4;To the [GetFromRootCompliment] [Root.GetTitledFirstName], I felt obliged to give you more than what you have asked for, I am convinced that you will use this donation with good intentions. Here are [From.local_Keitaro_money_count_spent.GetValue]¤.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPT_Keitaro_Decisions_4;Perfect!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_5;Dear [Root.GetTitledFirstName], I'm sure the amount of [From.local_Keitaro_money_count_spent.GetValue]¤ I sent you is enough, It wouldn't feel right to dispossess the wealth of [From.PrimaryTitle.GetName].\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPT_Keitaro_Decisions_5;What ?!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_6;To the dear [Root.GetTitledFirstName], as much as I would like to comply with your request, I am afraid that this could compromise the well-being of the good people of [From.PrimaryTitle.GetName], and I'm sure we can find a better arrangement for the favor I owe you.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPT_Keitaro_Decisions_6;I'm convinced by this argument, that wasn't right of me to request this.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_7;To the [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nIt is most unfortunate that you happen to hold the [title.GetFullBaseName] that all agree should rightfully be mine. No words could describe my gratefulness, would you take this decision.\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;x
EVTOPTA_Keitaro_Decisions_7;Of course!;;;;;;;;;;;;;x
EVTOPTB_Keitaro_Decisions_7;Not yet.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_8;To the [GetFromRootCompliment], [Root.GetTitledFirstName].\n\nYour loyalty shall be gracely rewarded with the [title.GetFullBaseName]. May you honor your house with prestige and prosperity.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPT_Keitaro_Decisions_8;[From.GetTitledFirstName] made the right decision!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Decisions_9;To the [GetFromRootCompliment], [Root.GetTitledFirstName].\n\nIt pains me that I can't comply with your desire. I hope fortune will come to you in the future.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPT_Keitaro_Decisions_9;This is unfortunate.;;;;;;;;;;;;;x
