#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

RULE_GROUP_DECISIONS;Decisions;Décisions;Entscheidungen;;Decisiones:;;;;;;;;;x

RULE_OPTION_PLAYERS_ONLY;Players Only;Joueurs uniquement;Nur Spieler;;Solo jugadores;;;;;;;;;

RULE_ASK_FOR_MONEY;§RTides of Warcraft§! (§BConclave§!): Ask For Money;;;;;;;;;;;;
RULE_ASK_FOR_MONEY_ON_DESC;Players and the AI can ask for money to someone who owes them a favor.;;;;;;;;;;;;;
RULE_ASK_FOR_MONEY_PLAYERS_ONLY_DESC;Only the players can ask for money to someone who owes them a favor.;;;;;;;;;;;;;
RULE_ASK_FOR_MONEY_OFF_DESC;Nobody can ask for money to someone who owes them a favor.;;;;;;;;;;;;;

RULE_NOMAD_PILLAGE_VASSAL_HOLDINGS;§RTides of Warcraft§! (§BHorse Lords§!): Nomad Clans Holding Pillage;;;;;;;;;;;;
RULE_NOMAD_PILLAGE_VASSAL_HOLDINGS_ON_DESC;Nomad rulers can pillage vassal baron level holdings if they own the county.;;;;;;;;;;;;;
RULE_NOMAD_PILLAGE_VASSAL_HOLDINGS_OFF_DESC;Nomad rulers can only pillage holdings they own.;;;;;;;;;;;;;
