#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
EVTDESC_Keitaro_MT_2;My liege needs entertainment [GetJesterOccasion], what should I plan?;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_story;Tell a story.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_song;Sing a song.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_music;Play music.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_poetry;Tell a poem.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_acrobatics;Make an acrobatic show.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_juggling;Juggle.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_jokes;Tell a joke.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_tricks;Do tricks.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_2_lunatic;I will do something special!;;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_story;[From.GetFirstName] told me a story to entertain me [From.GetJesterOccasion]. [From.GetJesterStory] [From.GetJesterStoryResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_song;[From.GetFirstName] sang a piece [From.GetSheHe] wrote [From.GetHerselfHimself] [From.GetJesterOccasion]. [From.GetJesterSong] [From.GetJesterSongResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_music;[From.GetJesterMusic] [From.GetJesterOccasion]. [From.GetJesterMusicResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_poetry;[From.GetFirstName] recited poetry [From.GetJesterOccasion]. [From.GetJesterPoetry] [From.GetJesterPoetryResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_acrobatics;[From.GetFirstName] made an acrobatic show [From.GetJesterOccasion]. [From.GetJesterAcrobatics] [From.GetJesterAcrobaticsResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_juggling;[From.GetFirstName] started juggling [From.GetJesterOccasion]. [From.GetJesterJuggling] [From.GetJesterJugglingResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_jokes;[From.GetFirstName] told me jokes [From.GetJesterOccasion]. [From.GetJesterJokes] [From.GetJesterJokesResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_tricks;[From.GetFirstName] used tricks to entertain me [From.GetJesterOccasion]. [From.GetJesterTricks] [From.GetJesterTricksResult];;;;;;;;;;;;x
EVTDESC_Keitaro_MT_3_lunatic;[From.GetJesterLunatic] [From.GetJesterOccasion]. [From.GetJesterLunaticResult];;;;;;;;;;;;x
EVTOPT_Keitaro_MT_3_imprison;Imprison [From.GetHerHim], at once!;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_3_terrible;This was terrible!;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_3_bad;That was bad.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_3_mediocre;I have other things to do.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_3_good;That was entertaining!;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_3_excellent;I can't wait for your next show, [From.GetFirstName]!;;;;;;;;;;;;x
EVTDESC_Keitaro_MT_4_imprison;[From.GetTitledName] was so furious with the mockery I targeted [From.GetHerHim] with, that [From.GetSheHe] imprisoned me !.;;;;;;;;;;;;x
EVTDESC_Keitaro_MT_4_terrible;I made a complete fool of myself after I did my [GetJesterChoice], and not in a good way! I undoubtedly embarrassed [From.GetTitledName]...;;;;;;;;;;;;x
EVTDESC_Keitaro_MT_4_bad;[From.GetTitledName] was unsatisfied with my performance. I need to work on my [GetJesterChoice].;;;;;;;;;;;;x
EVTDESC_Keitaro_MT_4_mediocre;I had little reaction from [From.GetTitledName]. I thought [GetJesterChoice] was something I was at least satisfactory at. Maybe [From.GetSheHe] liked it...?;;;;;;;;;;;;x
EVTDESC_Keitaro_MT_4_good;[From.GetTitledName] had good laughs and congratulated me on my act. I am better than I thought at [GetJesterChoice]!;;;;;;;;;;;;x
EVTDESC_Keitaro_MT_4_excellent;[From.GetTitledName] was smiling almost constantly, thanks to me! I'm truly competent at [GetJesterChoice]!;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_4_imprison;What?!;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_4_terrible;What am I good for?;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_4_bad;Back to work...;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_4_mediocre;Probably not.;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_4_good;That was fun!;;;;;;;;;;;;x
EVTOPT_Keitaro_MT_4_excellent;I hope I brightened his day!;;;;;;;;;;;;x
