#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
EVTTOOLTIP_Keitaro_Approve_the_plan;Approve the plan;Approuver le plan;Stimmt dem Plan zu;;Aprobar el plan;;;;;;;;;x
EVTTOOLTIP_Keitaro_The_plot_succeeded;The plot succeeded!;;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_The_plot_continues;§Y[Root.GetTitledName]§! is not satisfied, the plot continues...;;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_The_plot_succeeds;The plot succeeds;;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_The_plot_succeeds_but_is_revealed;The plot succeeds but is revealed;;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_Troops_are_sent;The troops are sent;;;;;;;;;;;;;x

Keitaro_8155_outcome_cupbearer;[cupbearer.GetFirstName], what's wrong? Someone, help [cupbearer.GetHerHim]!;;;;;;;;;;;;;x

EVTTOOLTIP_Keitaro_Plot_1_Tell;Tell [This.GetTitledName] of the idea to increase the revolt risk in the demesne of [This.PlotTarget.GetTitledName];.;;;;;;;;;;;;x
EVTTOOLTIP_Keitaro_Plot_1_Ask;Ask §Y[This.GetTitledName]§! for funds to increase the revolt risk in the demesne of §Y[This.PlotTarget.GetTitledName]§!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_1;With the informations I collected, I could help foment the rebellion [plot_leader.GetTitledName] wants. I know that a lot of peasants could become discontent with [plot_leader.PlotTarget.GetTitledName] if I were to push them a bit, increasing the risk of them revolting!;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_1;I know someone there that could accomplish more with some help.;;;;;;;;;;;;;x
EVTOPTB_Keitaro_Plot_1;Maybe [plot_leader.GetTitledFirstName] could fund troublemakers.;;;;;;;;;;;;;x
EVTOPTC_Keitaro_Plot_1;Pay the local leaders to be more persuasive.;;;;;;;;;;;;;x
EVTOPTD_Keitaro_Plot_1;This is not worth doing.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_2;Good news! My co-conspirator, [From.GetTitledName], has let me know that [Root.PlotTarget.GetTitledName] will soon hear angry peasants knocking at [Root.PlotTarget.GetHerHis] door! He has indeed found a way to make the peasants believe that their liege isn't fulfilling [Root.PlotTarget.GetHerHis] duties as [Root.PlotTarget.GetTitle].;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_2;Good, let's go with this.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_3;The plot leader [From.GetTitledName] is telling me that I can go along with the plan. I have means to make the peasants of the [target_title.GetFullBaseName] angry now...;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_3;Fire up the rebels.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_4;[From.GetTitledName] has successfully increased the revolt risk in the [target_title.GetFullBaseName] without getting my plans revealed. The peasants are now angry and will, hopefully, be revolting soon!;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_4;Perfect, that ought to do it.;;;;;;;;;;;;;x
EVTOPTB_Keitaro_Plot_4;This isn't the end...;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_5;[From.GetTitledName] has successfully increased the revolt risk in the [target_title.GetFullBaseName] but [From.GetHeShe] got my plans revealed in the process! The peasants are now angry and will, hopefully, be revolting soon!;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_5;Well, at least the plan worked.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_6;[From.GetTitledName] has a way to make progress in my plot to Foment the Rebellion against [Root.PlotTarget.GetTitledName]. [From.GetSheHeCap] just needs money to do so.;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_6;Fund what's needed.;;;;;;;;;;;;;x
EVTOPTB_Keitaro_Plot_6;Fund more to ensure it goes well.;;;;;;;;;;;;;x
EVTOPTC_Keitaro_Plot_6;Don't give anything.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_7;The plot leader [From.GetTitledName] doesn't want to pay to help me accomplish his own plot! If this opportunity has to happen, it will be thanks to me!;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_8;With the informations I collected, I could help the current rebellion against [plot_leader.PlotTarget.GetTitledName], continuing the plot of [plot_leader.GetTitledName].;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_8;Send my men under their flag.;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_8;Stir up more revolters.;;;;;;;;;;;;;x
EVTOPTC_Keitaro_Plot_8;Pay mercenaries to help the revolt.;;;;;;;;;;;;;x
EVTOPTD_Keitaro_Plot_8;Pay a lot of mercaneries help the revolt.;;;;;;;;;;;;;x
EVTOPTE_Keitaro_Plot_8;This is not worth doing.;;;;;;;;;;;;;x
EVTDESC_Keitaro_Plot_9;My co-conspirator, [From.GetTitledName], has gathered troops ready to fight against [Root.PlotTarget.GetTitledName]. Let's use them to help...;;;;;;;;;;;;;x
EVTOPTA_Keitaro_Plot_9;[Keitaro_Plot_9_revolt_1.GetTitledName].;;;;;;;;;;;;;x
