take_consort;Offer to become consorts;Offer to become consorts;Offer to become consorts;;Offer to become consorts;;;;;;;;;x
take_consort_desc;Send a message to this individual asking if they wish to become your consort.;;;;;;;;;;;;;x
EVTDESCDRGFLF.2;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI find your grace and beauty to be beyond compare and would be overjoyed if you were to become my consort.\n\nSigned, [From.GetFirstName];To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI find your grace and beauty to be beyond compare and would be overjoyed if you were to become my consort.\n\nSigned, [From.GetFirstName];To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI find your grace and beauty to be beyond compare and would be overjoyed if you were to become my consort.\n\nSigned, [From.GetFirstName];;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI find your grace and beauty to be beyond compare and would be overjoyed if you were to become my consort.\n\nSigned, [From.GetFirstName];;;;;;;;;x
EVTOPTDRGFLF.2a;I cannot refuse my flight's Aspect!;I cannot refuse my flight's Aspect!;I cannot refuse my flight's Aspect!;;I cannot refuse my flight's Aspect!;;;;;;;;;x
EVTOPTDRGFLF.2b;Of course!;Of course!;Of course!;;Of course!;;;;;;;;;x
EVTOPTDRGFLF.2c;Sorry, but no.;Sorry, but no.;Sorry, but no.;;Sorry, but no.;;;;;;;;;x
EVTDESCDRGFLF.3;Dear [Root.GetFirstName],\n\nI would be delighted if we were to be consorts!;Dear [Root.GetFirstName],\n\nI would be delighted if we were to be consorts!;Dear [Root.GetFirstName],\n\nI would be delighted if we were to be consorts!;;Dear [Root.GetFirstName],\n\nI would be delighted if we were to be consorts!;;;;;;;;;x
EVTOPTDRGFLF.3;Great!;Great!;Great!;;Great!;;;;;;;;;x
EVTDESCDRGFLF.4;To [Root.GetBestName],\n\nI am afraid I must refuse your offer.\n\nSigned, [From.GetBestName];To [Root.GetBestName],\n\nI am afraid I must refuse your offer.\n\nSigned, [From.GetBestName];To [Root.GetBestName],\n\nI am afraid I must refuse your offer.\n\nSigned, [From.GetBestName];;To [Root.GetBestName],\n\nI am afraid I must refuse your offer.\n\nSigned, [From.GetBestName];;;;;;;;;x
EVTOPTDRGFLF.4;... very well;... very well;... very well;;... very well;;;;;;;;;x
drg_consort_refused_me;Refused me;Refused me;Refused me;;Refused me;;;;;;;;;x
drg_consort_unwanted_advances;Unwanted advances;Unwanted advances;Unwanted advances;;Unwanted advances;;;;;;;;;x
dragon_infiltrated;Away from court;Away from court;Away from court;;Away from court;;;;;;;;;x
dragon_infiltrated_desc;This dragon is currently away their home for reasons of their own.;This dragon is currently away their home for reasons of their own.;This dragon is currently away their home for reasons of their own.;;This dragon is currently away their home for reasons of their own.;;;;;;;;;x
emerald_dream;Asleep;Asleep;Asleep;;Asleep;;;;;;;;;x
emerald_dream_desc;This dragon's body is asleep while their spirit explores the Emerald Dream.;;;;;;;;;;;;;x
secretly_dragon;Secret Dragon;;;;;;;;;;;;;x
secretly_dragon_desc;A dragon posing as a mortal.;;;;;;;;;;;;;x
green_wyrmcult_rank_1_male;Initiate;Initiate;Initiate;;Initiate;;;;;;;;;x
green_wyrmcult_rank_1_female;Initiate;Initiate;Initiate;;Initiate;;;;;;;;;x
green_wyrmcult_rank_2_male;Adept;Adept;Adept;;Adept;;;;;;;;;x
green_wyrmcult_rank_2_female;Adept;Adept;Adept;;Adept;;;;;;;;;x
green_wyrmcult_rank_3_male;Chosen;Chosen;Chosen;;Chosen;;;;;;;;;x
green_wyrmcult_rank_3_female;Chosen;Chosen;Chosen;;Chosen;;;;;;;;;x
green_wyrmcult_rank_4_male;Master;Master;Master;;Master;;;;;;;;;x
green_wyrmcult_rank_4_female;Mistress;Mistress;Mistress;;Mistress;;;;;;;;;x
green_wyrmcult;Green Wyrmcult;Green Wyrmcult;Green Wyrmcult;;Green Wyrmcult;;;;;;;;;x
green_wyrmcult_desc;The green wyrmcult seek to seek the dragons of the Green Dragonflight in exchange for their favour and the chance to perhaps ascend into the form of a drakonid or dragonspawn.;The green wyrmcult seek to seek the dragons of the Green Dragonflight in exchange for their favour and the chance to perhaps ascend into the form of a drakonid or dragonspawn.;The green wyrmcult seek to seek the dragons of the Green Dragonflight in exchange for their favour and the chance to perhaps ascend into the form of a drakonid or dragonspawn.;;The green wyrmcult seek to seek the dragons of the Green Dragonflight in exchange for their favour and the chance to perhaps ascend into the form of a drakonid or dragonspawn.;;;;;;;;;x
currency_name_wyrmcult;power;power;power;;power;;;;;;;;;x
dragonflight_government;Dragonflight;Dragonflight;Dragonflight;;Dragonflight;;;;;;;;;x
dragonflight_government_desc;Dragons govern themselves differently from other races, being incredibly loyal to their aspect and flight but holding no ties to anyone else.;Dragons govern themselves differently from other races, being incredibly loyal to their aspect and flight but holding no ties to anyone else.;Dragons govern themselves differently from other races, being incredibly loyal to their aspect and flight but holding no ties to anyone else.;;Dragons govern themselves differently from other races, being incredibly loyal to their aspect and flight but holding no ties to anyone else.;;;;;;;;;x
infiltrate_court;Infiltrate Court;;;;;;;;;;;;;x
infiltrate_court_desc;Infiltrate target ruler's court as a member of their race, in order to manipulate events.;;;;;;;;;;;;;x
dragon_whelp;Whelp;Whelp;Whelp;;Whelp;;;;;;;;;x
dragon_whelp_desc;A whelp is the youngest life stage of a dragon, and when they are most powerless and vulnerable.;A whelp is the youngest life stage of a dragon, and when they are most powerless and vulnerable.;A whelp is the youngest life stage of a dragon, and when they are most powerless and vulnerable.;;A whelp is the youngest life stage of a dragon, and when they are most powerless and vulnerable.;;;;;;;;;x
dragon_drake;Drake;Drake;Drake;;Drake;;;;;;;;;x
dragon_drake_desc;Drakes are dragons that can be considered adult, if not fully mature. Unlike whelps, they are more than capable of defending themselves.;Drakes are dragons that can be considered adult, if not fully mature. Unlike whelps, they are more than capable of defending themselves.;Drakes are dragons that can be considered adult, if not fully mature. Unlike whelps, they are more than capable of defending themselves.;;Drakes are dragons that can be considered adult, if not fully mature. Unlike whelps, they are more than capable of defending themselves.;;;;;;;;;x
dragon_dragon;Dragon;Dragon;Dragon;;Dragon;;;;;;;;;x
dragon_dragon_desc;A fully mature dragon is a force to be reckoned with, having had centuries to accumulate experience and power.;A fully mature dragon is a force to be reckoned with, having had centuries to accumulate experience and power.;A fully mature dragon is a force to be reckoned with, having had centuries to accumulate experience and power.;;A fully mature dragon is a force to be reckoned with, having had centuries to accumulate experience and power.;;;;;;;;;x
dragon_wyrm;Wyrm;Wyrm;Wyrm;;Wyrm;;;;;;;;;x
dragon_wyrm_desc;Wyrms are particularly old dragons who have grown even larger and stronger.;Wyrms are particularly old dragons who have grown even larger and stronger.;Wyrms are particularly old dragons who have grown even larger and stronger.;;Wyrms are particularly old dragons who have grown even larger and stronger.;;;;;;;;;x
