#Code;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
murloc_breeding;Perform the mating ritual;;;;;;;;;;;;;x
murloc_breeding_desc;It is mating season and you are in heat, as are other murlocs.;;;;;;;;;;;;;x
DECTOOLTIPMURLOCEVT.1;Has a murloc spouse, concubine that hasn't mated yet.;;;;;;;;;;;;;x
DECTOOLTIPMURLOCEVT.2;Not busy doing other things.;;;;;;;;;;;;;x
DECTOOLTIPMURLOCEVT.3;You haven't already fertilized eggs this year.;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.1;It is early in the year, and that means it's mating season. Nature itself urges you to procreate.;;;;;;;;;;;;;x
EVTOPTMURLOCEVT.1a;It's time!;;;;;;;;;;;;;x
EVTTOOLTIPMURLOC.1;You venture out to find a mate.;;;;;;;;;;;;;x
EVTOPTMURLOCEVT.1b;Not this year.;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.2;Your heat is at full swing now, and you can't hold yourself back forever.;;;;;;;;;;;;;x
EVTOPTMURLOCEVT.2a;Give in to the urges.;;;;;;;;;;;;;x
EVTOPTMURLOCEVT.2b;Resist the urges.;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.3;You've mated with your [From.GetHusbandWifeOpp], [From.GetFirstName].;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.4;It is breeding season and your [murloc_breed_one.GetHusbandWife], [murloc_breed_one.GetFirstName] approaches you. You both give in to your instincts.;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.5;You've mated with your concubine, [From.GetFirstName].;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.6;It is breeding season and your consort, [murloc_breed_one.GetFirstName] approaches you. You both give in to your instincts.;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.7;You've mated with your lover, [From.GetFirstName].;;;;;;;;;;;;;x
EVTDESCMURLOCEVT.8;It is breeding season and your lover, [murloc_breed_one.GetFirstName] approaches you. You both give in to your instincts.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.9;A most horrible thing has happened to you today: while searching for [From.GetFirstName] so you could breed, you find her mating with that dastardly [murloc_breed_one.GetFirstName]!;;;;;;;;;;;;;
EVTOPTMURLOCEVT.9a;Expose them!;;;;;;;;;;;;;
EVTOPTMURLOCEVT.9b;Let's just... forget this ever happened.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.10;Your [From.GetHusbandWife] has caught you mating with [murloc_breed_one.GetFirstName]! Worse, [From.GetSheHe] has exposed you to everyone!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.11;[FromFrom.GetFirstName]'s [From.GetHusbandWife] has caught you mating with [FromFrom.GetFirstName]! Worse, [From.GetSheHe] has exposed you to everyone!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.12;Though it is mating season, you have no [Root.GetHusbandWifeOpp], no consorts and no lovers. Wandering through the grounds, you find [From.GetBestName], who is also alone. Together, you mate and a bond is forged.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16a;Unfortunately, it seems none of the eggs you've lain during mating season have hatched.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16b;Only one of the eggs you've lain during mating season has hatched.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16c;Two of the eggs you've lain during mating season have hatched.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16d;Three of the eggs you've lain during mating season have hatched!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16e;Four of the eggs you've lain during mating season have hatched!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16f;All five eggs you've lain during mating season have hatched!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16a;Unfortunately, it seems none of the eggs you've lain during mating season have hatched.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16b;Only one of the eggs you've lain during mating season has hatched.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16c;Two of the eggs you've lain during mating season have hatched.;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16d;Three of the eggs you've lain during mating season have hatched!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16e;Four of the eggs you've lain during mating season have hatched!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.16f;All five eggs you've lain during mating season have hatched!;;;;;;;;;;;;;
EVTDESCMURLOCEVT.18;Mating season has come and gone, and you've not participated in it. Other murlocs frown disapprovingly at you.;;;;;;;;;;;;;
