#Code;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;;
OPTIONS_MORE;More;More;More;;More;;;;;;;;;x;;;;;;;;;;;;;;;;;
OPTIONS_BACK;Back;Back;Back;;Back;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLETROLLWAR.1;An envoy from Zandalar;An envoy from Zandalar;An envoy from Zandalar;;An envoy from Zandalar;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.1;Millenia ago, the High Elves came from the west and brought ruin to the Amani with their strange magics. Now, the revered Zandalari have sent an emissary to rally the Amani. In their infinite wisdom, the Zandalari have chosen you to lead the renewed Amani Empire. The trolls march to war, and the Loa with them.;Millenia ago, the High Elves came from the west and brought ruin to the Amani with their strange magics. Now, the revered Zandalari have sent an emissary to rally the Amani. In their infinite wisdom, the Zandalari have chosen you to lead the renewed Amani Empire. The trolls march to war, and the Loa with them.;Millenia ago, the High Elves came from the west and brought ruin to the Amani with their strange magics. Now, the revered Zandalari have sent an emissary to rally the Amani. In their infinite wisdom, the Zandalari have chosen you to lead the renewed Amani Empire. The trolls march to war, and the Loa with them.;;Millenia ago, the High Elves came from the west and brought ruin to the Amani with their strange magics. Now, the revered Zandalari have sent an emissary to rally the Amani. In their infinite wisdom, the Zandalari have chosen you to lead the renewed Amani Empire. The trolls march to war, and the Loa with them.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.1;We'll take back what's ours!;We'll take back what's ours!;We'll take back what's ours!;;We'll take back what's ours!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.2;The time has come. The chiefs and warlords have been mustered. Headhunters and berserkers equipped. The witch doctors assure you the time is right. You give the order. The sorcerous elves will fall, and your pople shall have what's theirs by right.;The time has come. The chiefs and warlords have been mustered. Headhunters and berserkers equipped. The witch doctors assure you the time is right. You give the order. The sorcerous elves will fall, and your pople shall have what's theirs by right.;The time has come. The chiefs and warlords have been mustered. Headhunters and berserkers equipped. The witch doctors assure you the time is right. You give the order. The sorcerous elves will fall, and your pople shall have what's theirs by right.;;The time has come. The chiefs and warlords have been mustered. Headhunters and berserkers equipped. The witch doctors assure you the time is right. You give the order. The sorcerous elves will fall, and your pople shall have what's theirs by right.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.2;To war!;To war!;To war!;;To war!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTTITLETROLLWAR.3;A Troll War;A Troll War;A Troll War;;A Troll War;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.3;For the last few days, the number of minor skirmishes with the trolls increased. Nothing was thought of it since the savages are prone to doing so every so often. In truth, those were merely scouts tasked with probing your defences. A huge troll army marches out of the lands to the south, intent on taking Quel'Thalas! This cannot be allowed!;For the last few days, the number of minor skirmishes with the trolls increased. Nothing was thought of it since the savages are prone to doing so every so often. In truth, those were merely scouts tasked with probing your defences. A huge troll army marches out of the lands to the south, intent on taking Quel'Thalas! This cannot be allowed!;For the last few days, the number of minor skirmishes with the trolls increased. Nothing was thought of it since the savages are prone to doing so every so often. In truth, those were merely scouts tasked with probing your defences. A huge troll army marches out of the lands to the south, intent on taking Quel'Thalas! This cannot be allowed!;;For the last few days, the number of minor skirmishes with the trolls increased. Nothing was thought of it since the savages are prone to doing so every so often. In truth, those were merely scouts tasked with probing your defences. A huge troll army marches out of the lands to the south, intent on taking Quel'Thalas! This cannot be allowed!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.3;To arms! To arms!;To arms! To arms!;To arms! To arms!;;To arms! To arms!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.4;Your scouts report that in the northen reaches of the continent a war unlike anything you've yet seen has begun. The forest trolls have united under a single banner, that of the Amani, and now assault the lands of the ever-isolationist elves. There is some concern for though the elves arrogant and condescending, after their defeat the trolls might turn south.;Your scouts report that in the northen reaches of the continent a war unlike anything you've yet seen has begun. The forest trolls have united under a single banner, that of the Amani, and now assault the lands of the ever-isolationist elves. There is some concern for though the elves arrogant and condescending, after their defeat the trolls might turn south.;Your scouts report that in the northen reaches of the continent a war unlike anything you've yet seen has begun. The forest trolls have united under a single banner, that of the Amani, and now assault the lands of the ever-isolationist elves. There is some concern for though the elves arrogant and condescending, after their defeat the trolls might turn south.;;Your scouts report that in the northen reaches of the continent a war unlike anything you've yet seen has begun. The forest trolls have united under a single banner, that of the Amani, and now assault the lands of the ever-isolationist elves. There is some concern for though the elves arrogant and condescending, after their defeat the trolls might turn south.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
