#Code;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
troll_wars_preparation;Preparing for war;Preparing for war;Preparing for war;;Preparing for war;;;;;;;;;x
warlord;Warlord;Warlord;Warlord;;Warlord;;;;;;;;;x
refused_troll_wars;Refused call for aid;Refused call for aid;Refused call for aid;;Refused call for aid;;;;;;;;;x
troll_wars_victory;Defeated the Amani;Defeated the Amani;Defeated the Amani;;Defeated the Amani;;;;;;;;;x
duel_timer;Duel Timer;Duel Timer;Duel Timer;;Duel Timer;;;;;;;;;x
redridge_blackrock;Redridge Mountains;Redridge Mountains;Redridge Mountains;;Redridge Mountains;;;;;;;;;x
blastedlands_blackmorass;Black Morass;Black Morass;Black Morass;;Black Morass;;;;;;;;;x
hakkar_godbreaker;Godbreaker;Godbreaker;Godbreaker;;Godbreaker;;;;;;;;;x
hakkari_emperor;Hakkari Emperor;Hakkari Emperor;Hakkari Emperor;;Hakkari Emperor;;;;;;;;;x
refused_to_help;Refused to help;Refused to help;Refused to help;;Refused to help;;;;;;;;;x
opinion_criminal;Criminal;;;;;;;;;;;;;x
deadwind_borderlands;Borderlands;;;;;;;;;;;;;x
settler_holdouts;Settler Holdouts;;;;;;;;;;;;;x
