#Code;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ogre_magi;Ogre Magi;Ogre Magi;Ogre Magi;;Ogre Magi;;;;;;;;;x
ogre_magi_desc;Ogre magi are unusually intelligent ogres that, in addition to being as strong as any ogre, are also powerful magicians.;Ogre magi are unusually intelligent ogres that, in addition to being as strong as any ogre, are also powerful magicians.;Ogre magi are unusually intelligent ogres that, in addition to being as strong as any ogre, are also powerful magicians.;;Ogre magi are unusually intelligent ogres that, in addition to being as strong as any ogre, are also powerful magicians.;;;;;;;;;x
trogg_desc;Troggs are brutish creatures that live in rocky regions and are infamous for their low intelligence.;Troggs are brutish creatures that live in rocky regions and are infamous for their low intelligence.;Troggs are brutish creatures that live in rocky regions and are infamous for their low intelligence.;;Troggs are brutish creatures that live in rocky regions and are infamous for their low intelligence.;;;;;;;;;x
kobold_desc;Kobolds are diminutive rat-like creatures who dwell in and around caverns and mines. They are not very intelligent or brave, and are famous for hoarding candles, which they wear on their heads.;Kobolds are diminutive rat-like creatures who dwell in and around caverns and mines. They are not very intelligent or brave, and are famous for hoarding candles, which they wear on their heads.;Kobolds are diminutive rat-like creatures who dwell in and around caverns and mines. They are not very intelligent or brave, and are famous for hoarding candles, which they wear on their heads.;;Kobolds are diminutive rat-like creatures who dwell in and around caverns and mines. They are not very intelligent or brave, and are famous for hoarding candles, which they wear on their heads.;;;;;;;;;x
naga_desc;Naga are a vile race descended from the Highborne Night Elves who were dragged down into the sea during the Sundering, and transformed by the will of a dark power.;Naga are a vile race descended from the Highborne Night Elves who were dragged down into the sea during the Sundering, and transformed by the will of a dark power.;Naga are a vile race descended from the Highborne Night Elves who were dragged down into the sea during the Sundering, and transformed by the will of a dark power.;;Naga are a vile race descended from the Highborne Night Elves who were dragged down into the sea during the Sundering, and transformed by the will of a dark power.;;;;;;;;;x
gnoll_desc;Gnolls are violent and not particularly intelligent raiders who thrive on bullying any who they perceive as weaker.;Gnolls are violent and not particularly intelligent raiders who thrive on bullying any who they perceive as weaker.;Gnolls are violent and not particularly intelligent raiders who thrive on bullying any who they perceive as weaker.;;Gnolls are violent and not particularly intelligent raiders who thrive on bullying any who they perceive as weaker.;;;;;;;;;x
murloc_desc;Murlocs are a strange fish-like amphibious race that, unlike most monstrous creatures, are quite intelligent, and enough to not let others notice.;Murlocs are a strange fish-like amphibious race that, unlike most monstrous creatures, are quite intelligent, and enough to not let others notice.;Murlocs are a strange fish-like amphibious race that, unlike most monstrous creatures, are quite intelligent, and enough to not let others notice.;;Murlocs are a strange fish-like amphibious race that, unlike most monstrous creatures, are quite intelligent, and enough to not let others notice.;;;;;;;;;x
ogre_desc;Ogres are large musculous creatures capable of adapting to nearly any environment. With the exception of their magi, however, they are not very bright and prone to violence.;Ogres are large musculous creatures capable of adapting to nearly any environment. With the exception of their magi, however, they are not very bright and prone to violence.;Ogres are large musculous creatures capable of adapting to nearly any environment. With the exception of their magi, however, they are not very bright and prone to violence.;;Ogres are large musculous creatures capable of adapting to nearly any environment. With the exception of their magi, however, they are not very bright and prone to violence.;;;;;;;;;x
troll_zandalari;Zandalari Troll;Zandalari Troll;Zandalari Troll;;Zandalari Troll;;;;;;;;;x
troll_zandalari_desc;The trolls of Zandalar are notable in that they have pale, nearly-white, skin and do not have a hunched posture. They are regarded as the wisest of their race and closest to the Loa.;The trolls of Zandalar are notable in that they have pale, nearly-white, skin and do not have a hunched posture. They are regarded as the wisest of their race and closest to the Loa.;The trolls of Zandalar are notable in that they have pale, nearly-white, skin and do not have a hunched posture. They are regarded as the wisest of their race and closest to the Loa.;;The trolls of Zandalar are notable in that they have pale, nearly-white, skin and do not have a hunched posture. They are regarded as the wisest of their race and closest to the Loa.;;;;;;;;;x
troll_sand;Sand Troll;Sand Troll;Sand Troll;;Sand Troll;;;;;;;;;x
troll_sand_desc;Sand trolls are ragged survivalists accustomed to living in harsh conditions. They are an off-shoot of the jungle trolls, born of the isolation forced upon them by the Sundering.;Sand trolls are ragged survivalists accustomed to living in harsh conditions. They are an off-shoot of the jungle trolls, born of the isolation forced upon them by the Sundering.;Sand trolls are ragged survivalists accustomed to living in harsh conditions. They are an off-shoot of the jungle trolls, born of the isolation forced upon them by the Sundering.;;Sand trolls are ragged survivalists accustomed to living in harsh conditions. They are an off-shoot of the jungle trolls, born of the isolation forced upon them by the Sundering.;;;;;;;;;x
troll_jungle;Jungle Troll;Jungle Troll;Jungle Troll;;Jungle Troll;;;;;;;;;x
troll_jungle_desc;Jungle trolls are unusually lithe compared to their northen cousins, and, through their customs, revel in the act of hunting and personal combat.;Jungle trolls are unusually lithe compared to their northen cousins, and, through their customs, revel in the act of hunting and personal combat.;Jungle trolls are unusually lithe compared to their northen cousins, and, through their customs, revel in the act of hunting and personal combat.;;Jungle trolls are unusually lithe compared to their northen cousins, and, through their customs, revel in the act of hunting and personal combat.;;;;;;;;;x
troll_dark;Dark Troll;Dark Troll;Dark Troll;;Dark Troll;;;;;;;;;x
troll_dark_desc;Dark trolls are a rare and elusive troll subrace, who live in the northern forests of Kalimdor. They are notable as the ancestors of the Night Elves, before their mutation by the Well of Eternity.;Dark trolls are a rare and elusive troll subrace, who live in the northern forests of Kalimdor. They are notable as the ancestors of the Night Elves, before their mutation by the Well of Eternity.;Dark trolls are a rare and elusive troll subrace, who live in the northern forests of Kalimdor. They are notable as the ancestors of the Night Elves, before their mutation by the Well of Eternity.;;Dark trolls are a rare and elusive troll subrace, who live in the northern forests of Kalimdor. They are notable as the ancestors of the Night Elves, before their mutation by the Well of Eternity.;;;;;;;;;x
troll_ice;Ice Troll;Ice Troll;Ice Troll;;Ice Troll;;;;;;;;;x
troll_ice_desc;Ice trolls live in mountainous and arctic climates and are not only quite musuclar, but amongst the largest of the trolls. They possess excessive bloodlust and brutality, even more so than other trolls.;Ice trolls live in mountainous and arctic climates and are not only quite musuclar, but amongst the largest of the trolls. They possess excessive bloodlust and brutality, even more so than other trolls.;Ice trolls live in mountainous and arctic climates and are not only quite musuclar, but amongst the largest of the trolls. They possess excessive bloodlust and brutality, even more so than other trolls.;;Ice trolls live in mountainous and arctic climates and are not only quite musuclar, but amongst the largest of the trolls. They possess excessive bloodlust and brutality, even more so than other trolls.;;;;;;;;;x
troll_forest;Forest Troll;Forest Troll;Forest Troll;;Forest Troll;;;;;;;;;x
troll_forest_desc;Forest trolls are a green-skinned subrace of trolls who possess a great hatred for all elves, moreso than the rest of their kin, for what is seen as the theft of their homeland.;Forest trolls are a green-skinned subrace of trolls who possess a great hatred for all elves, moreso than the rest of their kin, for what is seen as the theft of their homeland.;Forest trolls are a green-skinned subrace of trolls who possess a great hatred for all elves, moreso than the rest of their kin, for what is seen as the theft of their homeland.;;Forest trolls are a green-skinned subrace of trolls who possess a great hatred for all elves, moreso than the rest of their kin, for what is seen as the theft of their homeland.;;;;;;;;;x
undead_generic;Undead;Undead;Undead;;Undead;;;;;;;;;x
undead_generic_desc;Undead is the term used to describe any creature brought back to life through necromancy. Though usually associated with the Scourge or the Forsaken, necromancy is not exclusive to them.;Undead is the term used to describe any creature brought back to life through necromancy. Though usually associated with the Scourge or the Forsaken, necromancy is not exclusive to them.;Undead is the term used to describe any creature brought back to life through necromancy. Though usually associated with the Scourge or the Forsaken, necromancy is not exclusive to them.;;Undead is the term used to describe any creature brought back to life through necromancy. Though usually associated with the Scourge or the Forsaken, necromancy is not exclusive to them.;;;;;;;;;x
undead_forsaken;Forsaken;Forsaken;Forsaken;;Forsaken;;;;;;;;;x
