#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aboraz;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
b_aboraz_adj;Aborazian;;aborazer;;;;;;;;;;;x
b_aboraz_2;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
b_aboraz_2_adj;Aborazian;;aborazer;;;;;;;;;;;x
b_aboraz_3;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
b_aboraz_3_adj;Aborazian;;aborazer;;;;;;;;;;;x
b_aboraz_4;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
b_aboraz_4_adj;Aborazian;;aborazer;;;;;;;;;;;x
b_aboraz_5;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
b_aboraz_5_adj;Aborazian;;aborazer;;;;;;;;;;;x
b_aboraz_6;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
b_aboraz_6_adj;Aborazian;;aborazer;;;;;;;;;;;x
b_aboraz_7;Aboraz;Aboraz;Aboraz;;Aboraz;;;;;;;;;x
b_aboraz_7_adj;Aborazian;;aborazer;;;;;;;;;;;x
b_acherus;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
b_acherus_adj;Acherusian;;acheruser;;;;;;;;;;;x
b_acherus_2;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
b_acherus_2_adj;Acherusian;;acheruser;;;;;;;;;;;x
b_acherus_3;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
b_acherus_3_adj;Acherusian;;acheruser;;;;;;;;;;;x
b_acherus_4;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
b_acherus_4_adj;Acherusian;;acheruser;;;;;;;;;;;x
b_acherus_5;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
b_acherus_5_adj;Acherusian;;acheruser;;;;;;;;;;;x
b_acherus_6;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
b_acherus_6_adj;Acherusian;;acheruser;;;;;;;;;;;x
b_acherus_7;Acherus;Acherus;Acherus;;Acherus;;;;;;;;;x
b_acherus_7_adj;Acherusian;;acheruser;;;;;;;;;;;x
b_aderics_repose;Aderic's Repose;Aderic's Repose;Aderic's Repose;;Aderic's Repose;;;;;;;;;x
