#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#REMEMBER TO ADD TO MONKSANDMYSTICS.CSV
GROUP_1;1;1;1;;1;;;;;;;;;x
GROUP_2;2;2;2;;2;;;;;;;;;x
GROUP_3;3;3;3;;3;;;;;;;;;x
GROUP_4;4;4;4;;4;;;;;;;;;x
NUDGE;Nudge;;;;;;;;;;;;;x
PLUS;+;+;+;;+;;;;;;;;;x
PLUS_PLUS;++;++;++;;++;;;;;;;;;x
MINUS;-;-;-;;-;;;;;;;;;x
MINUS_MINUS;--;--;--;;--;;;;;;;;;x
UP_ARROW;^;^;^;;^;;;;;;;;;x
DOWN_ARROW;v;v;v;;v;;;;;;;;;x
LEFT_ARROW;<;<;<;;<;;;;;;;;;x
RIGHT_ARROW;>;>;>;;>;;;;;;;;;x
ZERO;0;0;0;;0;;;;;;;;;x
NUDGE_X_TITLE;x:;x:;x:;;x:;;;;;;;;;x
NUDGE_Z_TITLE;z:;z:;z:;;z:;;;;;;;;;x
no_siege_offense_tactic;No Tactic;Aucune tactique;Keine Taktik;;Sin táctica;;;;;;;;;x
no_siege_defense_tactic;No Tactic;Aucune tactique;Keine Taktik;;Sin táctica;;;;;;;;;x
opinion_granted_other_emperor_vice_royalty;Feudal opinion of granted Viceroyalties;Opinion féodale pour l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche ;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
opinion_granted_other_king_vice_royalty;Feudal opinion of granted Viceroyalties;Opinion féodale pour l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche ;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
opinion_granted_other_duke_vice_royalty;Feudal opinion of granted Viceroyalties;Opinion féodale pour l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche ;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
opinion_granted_other_count_vice_royalty;Feudal opinion of granted Viceroyalties;Opinion féodale pour l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche ;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
opinion_granted_other_baron_vice_royalty;Feudal opinion of granted Viceroyalties;Opinion féodale pour l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche ;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
clan_opinion_feud;Feud;Querelle;Fehde;;Enemistad;;;;;;;;;x
clan_opinion_feud_blood_brother;Feud with Blood Brothers;Querelle avec des frères de sang;Fehde mit Blutsbrüdern;;Enemistad con hermanos de sangre;;;;;;;;;x
clan_opinion_no_job;Is not a Councillor;N'occupe aucun poste au conseil;Hat keine Position im Rat;;No tiene posición del consejo;;;;;;;;;x
clan_opinion_feud_leader_has_job;$WHO|Y$ is a Councillor;$WHO|Y$ occupe un poste au conseil;$WHO|Y$ hat Position im Rat;;$WHO|Y$ tiene la posición del consejo;;;;;;;;;x
clan_opinion_blood_oath;Blood Brothers;Frères de sang;Blutsbrüder;;Hermanos de sangre;;;;;;;;;x
PEACE_ENFORCE_NOT_ON_COOLDOWN_NO_DATE;§YRealm Peace§! has not been used in the last §Y$YEARS$ years§!.;La §Ypaix dans le pays§! n'a pas été utilisée durant ces §Ydix dernières années§!.;§YReichsfrieden§! wurde in den letzten §Y$YEARS$ Jahren§! nicht eingesetzt.;;§YReino de paz§! no se ha utilizado en los últimos §Y$YEARS$ años§!.;;;;;;;;;x
quest_secret_religious_societies_sympathy_ruler_fallback;Evoke the Sympathy of a Ruler;;;;;;;;;;;;;x
tribal_wrong_religion_group_modifier;Wrong Religion;Mauvaise religion;Falsche Religion;;Religión incorrecta;;;;;;;;;x
tribal_wrong_religion_reformed_modifier;Wrong Religion;Mauvaise religion;Falsche Religion;;Religión incorrecta;;;;;;;;;x
tribal_wrong_religion_modifier;Wrong Religion;Mauvaise religion;Falsche Religion;;Religión incorrecta;;;;;;;;;x
tribal_wrong_culture_group_modifier;Wrong Culture;Mauvaise culture;Falsche Kultur;;Cultura incorrecta;;;;;;;;;x
tribal_wrong_culture_modifier;Wrong Culture;Mauvaise culture;Falsche Kultur;;Cultura incorrecta;;;;;;;;;x
capital_county_independent_holder;Capital County;Capitale de comté;Hauptstadt;;Condado Capital;;;;;;;;;x
capital_county_vassal_count;Capital County;Capitale de comté;Hauptstadt;;Condado Capital;;;;;;;;;x
capital_county_vassal;Capital County;Capitale de comté;Hauptstadt;;Condado Capital;;;;;;;;;x
capital_duchy_independent_holder;Capital Duchy;Capitale de duché;Haupt-Herzogtum;;Ducado Capital;;;;;;;;;x
capital_duchy_vassal;Capital Duchy;Capitale de duché;Haupt-Herzogtum;;Ducado Capital;;;;;;;;;x
capital_kingdom;Capital Kingdom;Capitale de royaume;Haupt-Königreich;;Reino Capital;;;;;;;;;x
capital_empire;Capital Empire;Capitale d'empire;Haupt-Kaiserreich;;Imperio Capital;;;;;;;;;x
outside_capital_empire;Outside Capital Regions;Hors des principales régions;Außerhalb der Hauptregionen;;Regiones Capitales Externas;;;;;;;;;x
EQUIP;Equip;Équiper;Ausrüsten;;Equipar;;;;;;;;;x
UNEQUIP;Unequip;Retirer;Ablegen;;Quitar;;;;;;;;;x
EQUIP_DESC;Some artifacts need to be equipped in order to provide their bonuses.;Certains artefacts doivent être équipés pour fournir leurs bonus;Manche Artefakte müssen getragen werden um Ihren Bonus zu nutzen;;Algunos artefactos necesitan ser equipados para proporcionar sus bonificaciones.;;;;;;;;;x
EQUIPPED;Equipped;Équipé(e);Ausgerüstet;;Equipado;;;;;;;;;x
NOT_EQUIPPED;Not Equipped;Non équipé(e);Abgelegt;;No Equipada;;;;;;;;;x
weapon;Weapon;Arme;Waffe;;Arma;;;;;;;;;x
ceremonial_weapon;Ceremonial Weapon;Arme Cérémonielle;Zeremonienwaffe;;Arma Ceremonial;;;;;;;;;x
scepter;Scepter;Sceptre;Zepter;;Cetro;;;;;;;;;x
crown;Crown;Couronne;Krone;;Corona;;;;;;;;;x
wrist;Wrist;Poignet;Handgelenk;;Muñeca;;;;;;;;;x
neck;Neck;Cou;Hals;;Cuello;;;;;;;;;x
torso;Torso;Torse;;Torso;Torso;;;;;;;;;x
CANT_EQUIP_NO_ROOM;§RCan't Equip: No more room in the $SLOT|Y$§R slot!§!;§RImpossible d'équiper: plus de place dans la catégorie $SLOT|Y$;§RKann nicht ausrüsten, kein Platz frei für $SLOT|Y$§!;;§RNo se puede equipar: No más espacio en la $SLOT|Y$§R ranura!§!;;;;;;;;;x
CANT_EQUIP_INACTIVE;§RCan't Equip: Artifact is Inactive§!;§RImpossible d'équiper: l'artefact est Inactif§!;§RKann nicht ausrüsten: Artefakt is inaktiv§!;;§RNo se puede equipar: El artefacto está inactivo!§!;;;;;;;;;x
