province;red;green;blue;x;x
1;227;34;125;Magister's Terrace;x
2;221;213;142;Sun's Reach;x
3;162;150;142;Dawnstar;x
4;162;57;71;Sunwell Plateau;x
5;119;122;88;Sunstrider Isle;x
6;111;111;210;Silver Coast;x
7;196;201;145;Silvermoon;x
8;215;96;45;Ruins of Silvermoon;x
9;51;31;94;Sunstrider Coast;x
10;179;147;153;Azurebreeze Coast;x
11;54;120;12;Duskwither Spire;x
12;213;64;161;Thalassian Range;x
13;135;200;17;Greenwood Cliffs;x
14;213;71;71;Sungraze Peak;x
15;64;11;11;Farstrider Retreat;x
16;126;17;109;Stillwhisper Grove;x
17;193;170;99;North Sanctum;x
18;88;62;230;West Sanctum;x
19;62;62;37;Sunsail Anchorage;x
20;198;102;54;Fairbreeze;x
21;145;162;198;East Sanctum;x
22;255;74;116;The Living Wood;x
23;60;221;48;Zeb'Watha;x
24;88;62;48;Goldenbough Pass;x
25;173;170;198;The Scorched Grove;x
26;108;71;65;Tor'Watha;x
27;162;108;193;Dragonhawk Coast;x
28;82;43;94;Zuma'tel;x
29;147;128;57;Dawnstar Spire;x
30;91;45;57;Suncrown;x
31;218;109;136;Goldenmist;x
32;94;153;60;Tranquillien;x
33;139;85;142;An'daroth;x
34;30;56;94;Farstrider Enclave;x
35;164;156;57;Sanctum of the Sun;x
36;105;62;102;Deatholme;x
37;65;105;45;Thalassian Pass;x
38;170;62;142;Elrendar Valley;x
39;68;145;91;Windrunner Spire;x
40;136;99;65;Sanctum of the Moon;x
41;190;62;108;Twin Ziggurats;x
42;77;124;139;Underlight Hills;x
43;94;79;96;Elfsong Copse;x
44;207;186;144;Andilien Estate;x
45;111;186;144;Hatchet Hills;x
46;198;57;48;An'owyn;x
47;60;198;48;Zul'Aman;x
48;145;94;147;Zeb'Nowa;x
49;198;201;108;Zeb'Tela;x
50;96;119;108;Amani Trail;x
51;96;54;207;Nalorakk's Wood;x
52;96;193;187;Zeb'Intha;x
53;162;60;96;Spiritcatcher Shore;x
